method,route,controller,handler,module,scope classification,project resolution source,resource ownership lookup,guard/decorator,service-level assertion,investor restriction,company restriction,test coverage,status
POST,periods,accounting-period-closure.controller,create,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,periods,accounting-period-closure.controller,list,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,periods/:periodId,accounting-period-closure.controller,get,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,periods/:periodId/checklist,accounting-period-closure.controller,checklist,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,periods/:periodId/validate,accounting-period-closure.controller,validate,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,periods/:periodId/lock,accounting-period-closure.controller,lock,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,periods/:periodId/close,accounting-period-closure.controller,close,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,periods/:periodId/reopen-requests,accounting-period-closure.controller,requestReopen,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,periods/:periodId/reopen-requests,accounting-period-closure.controller,listReopenRequests,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,periods/:periodId/reopen-requests/:requestId/approve,accounting-period-closure.controller,approveReopen,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,periods/:periodId/reopen-requests/:requestId/reject,accounting-period-closure.controller,rejectReopen,accounting-period-closure,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,,accounting-reports.controller,list,accounting-reports,project,header/query/body/params,no,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:reportType/export,accounting-reports.controller,export,accounting-reports,project,header/query/body/params,no,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:reportType,accounting-reports.controller,getReport,accounting-reports,project,header/query/body/params,no,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PUT,approval-workflows,approvals.controller,upsertWorkflow,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,approval-workflows/:module/:entityType,approvals.controller,getWorkflow,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/approvals,approvals.controller,create,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/approvals,approvals.controller,list,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/approvals/:id,approvals.controller,getById,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/approvals/:id/timeline,approvals.controller,timeline,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/approvals/:id/submit,approvals.controller,submit,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/approvals/:id/approve,approvals.controller,approve,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
